step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
90,9,9,51.1,56.2,1011,0.9877,391.0,0,14.2,2.2,0,0,ppo,rl_v2,0,0
91,9,9,55.4,56.8,1023,0.9863,395.5,0,14.2,2.2,0,0,ppo,rl_v2,0,0
92,9,9,47.9,57.3,1031,0.9854,400.0,0,14.2,2.3,0,0,ppo,rl_v2,0,0
93,9,9,68.9,63.3,1140,0.9733,404.5,0,14.5,2.5,0,0,ppo,rl_v2,0,0
94,9,9,50.2,56.4,1015,0.9872,409.0,0,14.5,2.2,0,0,ppo,rl_v2,0,0
95,12,9,47.5,54.9,989,0.9901,413.5,1,14.3,2.2,0,3,ppo,rl_v2,0,0
96,12,10,15.6,45.6,858,1.0,418.5,0,13.9,1.7,0,2,ppo,rl_v2,0,0
97,9,8,38.3,55.7,824,0.997,422.5,1,14.2,2.0,0,1,ppo,rl_v2,0,0
98,9,8,45.5,59.1,875,0.9906,426.5,0,14.1,2.2,0,1,ppo,rl_v2,0,0
99,9,8,51.8,56.6,906,0.9868,430.5,0,14.5,2.2,0,1,ppo,rl_v2,0,0
100,9,8,30.9,49.2,788,1.0,434.5,0,13.9,1.9,0,1,ppo,rl_v2,0,0
101,9,8,26.5,47.1,754,1.0,438.5,0,13.8,1.9,0,1,ppo,rl_v2,0,0
102,9,8,17.9,43.6,697,1.0,442.5,0,13.8,1.7,0,1,ppo,rl_v2,0,0
103,9,9,11.3,43.4,729,1.0,447.0,0,14.0,1.6,0,0,ppo,rl_v2,0,0
104,9,9,39.8,54.0,908,0.9991,451.5,0,14.2,2.0,0,0,ppo,rl_v2,0,0
105,9,9,29.9,48.3,870,1.0,456.0,0,14.0,1.9,0,0,ppo,rl_v2,0,0
106,9,9,19.6,43.5,783,1.0,460.5,0,13.7,1.7,0,0,ppo,rl_v2,0,0
107,9,9,19.4,43.8,788,1.0,465.0,0,14.0,1.7,0,0,ppo,rl_v2,0,0
108,9,9,19.4,44.6,802,1.0,469.5,0,13.7,1.8,0,0,ppo,rl_v2,0,0
109,9,9,23.1,44.6,802,1.0,474.0,0,14.2,1.8,0,0,ppo,rl_v2,0,0
110,9,9,27.0,48.1,866,1.0,478.5,0,14.1,1.9,0,0,ppo,rl_v2,0,0
111,9,9,30.0,49.1,884,1.0,483.0,0,13.8,1.9,0,0,ppo,rl_v2,0,0
112,9,9,22.8,45.0,810,1.0,487.5,0,13.9,1.8,0,0,ppo,rl_v2,0,0
113,9,9,23.3,45.8,824,1.0,492.0,0,13.8,1.8,0,0,ppo,rl_v2,0,0
114,9,9,24.4,46.7,841,1.0,496.5,0,14.0,1.8,0,0,ppo,rl_v2,0,0
115,9,9,17.6,43.5,783,1.0,501.0,0,14.0,1.7,0,0,ppo,rl_v2,0,0
116,9,9,17.1,43.6,785,1.0,505.5,0,13.8,1.7,0,0,ppo,rl_v2,0,0
117,9,9,10.2,40.9,736,1.0,510.0,0,13.6,1.6,0,0,ppo,rl_v2,0,0
118,9,9,15.6,42.9,772,1.0,514.5,0,13.8,1.7,0,0,ppo,rl_v2,0,0
119,9,9,9.6,40.0,720,1.0,519.0,0,13.6,1.6,0,0,ppo,rl_v2,0,0
120,9,9,32.4,48.2,868,1.0,523.5,0,14.1,1.9,0,0,ppo,rl_v2,0,0
121,9,9,49.4,54.7,984,0.9907,528.0,0,14.0,2.1,0,0,ppo,rl_v2,0,0
122,9,9,35.4,49.8,896,1.0,532.5,0,14.3,2.0,0,0,ppo,rl_v2,0,0
123,9,9,30.9,47.8,861,1.0,537.0,0,13.9,1.9,0,0,ppo,rl_v2,0,0
124,9,9,30.2,48.0,864,1.0,541.5,0,14.0,1.9,0,0,ppo,rl_v2,0,0
125,9,9,39.3,52.1,938,0.9958,546.0,0,14.3,2.0,0,0,ppo,rl_v2,0,0
126,9,9,49.6,55.4,997,0.9892,550.5,0,14.0,2.2,0,0,ppo,rl_v2,0,0
127,9,9,27.3,47.2,849,1.0,555.0,0,13.9,1.9,0,0,ppo,rl_v2,0,0
128,9,9,19.0,44.3,798,1.0,559.5,0,13.9,1.7,0,0,ppo,rl_v2,0,0
