step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
84,12,12,44.5,52.5,1259,0.9951,456.0,0,14.1,2.1,0,0,dqn,rl_v2,0,0
85,12,12,51.0,56.2,1349,0.9876,462.0,0,14.4,2.2,0,0,dqn,rl_v2,0,0
86,12,12,64.2,58.2,1398,0.9835,468.0,0,14.1,2.3,0,0,dqn,rl_v2,0,0
87,12,12,57.6,57.4,1378,0.9852,474.0,0,14.3,2.3,0,0,dqn,rl_v2,0,0
88,12,12,8.8,29.2,702,1.0,480.0,0,13.5,1.2,0,0,dqn,rl_v2,0,0
89,12,12,87.7,67.0,1609,0.9659,486.0,0,14.6,2.6,0,0,dqn,rl_v2,0,0
90,7,7,119.7,83.7,1172,0.9326,489.5,1,14.8,2.2,0,0,dqn,rl_v2,0,0
91,12,7,2128.4,100.0,1902,0.8334,493.0,1,16.8,3.6,0,5,dqn,rl_v2,0,0
92,12,7,5000.0,100.0,2212,0.6294,496.5,0,17.0,4.1,0,5,dqn,rl_v2,0,0
93,12,9,121.0,92.6,1445,0.9394,501.0,0,15.6,2.6,0,3,dqn,rl_v2,0,0
94,12,12,108.3,96.6,1738,0.9552,507.0,0,15.5,2.8,0,0,dqn,rl_v2,0,0
95,12,12,15.5,50.2,1024,1.0,513.0,0,13.8,1.7,0,0,dqn,rl_v2,0,0
96,12,12,19.8,43.8,1051,1.0,519.0,0,13.8,1.7,0,0,dqn,rl_v2,0,0
97,11,11,93.8,71.1,1564,0.9578,524.5,1,14.7,2.8,0,0,dqn,rl_v2,0,0
98,12,11,69.7,62.6,1377,0.9748,530.0,1,14.2,2.5,0,1,dqn,rl_v2,0,0
99,12,12,52.7,58.2,1326,0.9895,536.0,0,14.3,2.2,0,0,dqn,rl_v2,0,0
100,12,12,45.9,55.1,1256,0.9953,542.0,0,14.2,2.1,0,0,dqn,rl_v2,0,0
101,12,12,103.3,74.8,1795,0.9504,548.0,0,14.8,2.9,0,0,dqn,rl_v2,0,0
102,12,12,112.4,84.9,2038,0.9302,554.0,0,15.2,3.3,0,0,dqn,rl_v2,0,0
103,12,12,83.2,68.1,1634,0.9638,560.0,0,14.5,2.7,0,0,dqn,rl_v2,0,0
104,12,12,106.9,78.8,1890,0.9425,566.0,0,15.0,3.1,0,0,dqn,rl_v2,0,0
105,12,12,28.6,47.3,1136,1.0,572.0,0,14.1,1.9,0,0,dqn,rl_v2,0,0
106,12,12,109.5,78.9,1893,0.9423,578.0,0,14.8,3.1,0,0,dqn,rl_v2,0,0
107,12,12,116.3,79.7,1913,0.9406,584.0,0,14.9,3.1,0,0,dqn,rl_v2,0,0
108,12,12,78.8,66.1,1586,0.9678,590.0,0,14.5,2.6,0,0,dqn,rl_v2,0,0
109,12,12,75.4,66.8,1603,0.9664,596.0,0,14.7,2.6,0,0,dqn,rl_v2,0,0
110,12,12,90.2,68.2,1637,0.9636,602.0,0,14.5,2.7,0,0,dqn,rl_v2,0,0
111,12,12,74.4,62.3,1495,0.9754,608.0,0,14.4,2.4,0,0,dqn,rl_v2,0,0
112,12,12,36.0,49.5,1188,1.0,614.0,0,13.8,1.9,0,0,dqn,rl_v2,0,0
113,12,12,80.2,63.9,1533,0.9722,620.0,0,14.3,2.5,0,0,dqn,rl_v2,0,0
114,12,12,121.3,86.1,2066,0.9278,626.0,0,15.2,3.4,0,0,dqn,rl_v2,0,0
115,12,12,90.6,70.8,1700,0.9583,632.0,0,15.0,2.8,0,0,dqn,rl_v2,0,0
116,12,12,54.8,57.7,1384,0.9847,638.0,0,14.4,2.3,0,0,dqn,rl_v2,0,0
117,12,12,142.6,88.0,2112,0.924,644.0,0,15.2,3.5,0,0,dqn,rl_v2,0,0
118,12,12,102.0,73.3,1760,0.9533,650.0,0,14.9,2.9,0,0,dqn,rl_v2,0,0
119,12,12,117.4,80.1,1923,0.9397,656.0,0,14.9,3.2,0,0,dqn,rl_v2,0,0
120,12,12,33.7,49.4,1186,1.0,662.0,0,14.2,1.9,0,0,dqn,rl_v2,0,0
121,12,12,82.9,69.6,1671,0.9607,668.0,0,14.8,2.7,0,0,dqn,rl_v2,0,0
122,12,12,126.4,77.5,1861,0.9449,674.0,0,14.8,3.0,0,0,dqn,rl_v2,0,0
123,12,12,92.3,72.8,1747,0.9544,680.0,0,14.8,2.9,0,0,dqn,rl_v2,0,0
124,12,12,72.5,62.8,1507,0.9744,686.0,0,14.6,2.5,0,0,dqn,rl_v2,0,0
125,12,12,66.7,62.2,1492,0.9757,692.0,0,14.6,2.4,0,0,dqn,rl_v2,0,0
126,12,12,127.6,81.0,1943,0.9381,698.0,0,15.0,3.2,0,0,dqn,rl_v2,0,0
127,12,12,119.9,80.3,1928,0.9393,704.0,0,15.0,3.2,0,0,dqn,rl_v2,0,0
128,12,12,126.9,86.3,2071,0.9274,710.0,0,15.0,3.4,0,0,dqn,rl_v2,0,0
129,12,12,128.8,84.8,2035,0.9304,716.0,0,14.9,3.3,0,0,dqn,rl_v2,0,0
130,12,12,116.3,76.2,1828,0.9477,722.0,0,14.7,3.0,0,0,dqn,rl_v2,0,0
131,12,12,171.2,94.0,2257,0.9119,728.0,0,15.6,3.7,0,0,dqn,rl_v2,0,0
132,12,12,177.1,100.0,2401,0.8999,734.0,0,15.6,3.9,0,0,dqn,rl_v2,0,0
133,12,12,113.7,79.5,1907,0.9411,740.0,0,14.7,3.1,0,0,dqn,rl_v2,0,0
134,12,12,119.4,82.1,1970,0.9358,746.0,0,14.9,3.2,0,0,dqn,rl_v2,0,0
135,12,12,171.1,97.0,2329,0.9059,752.0,0,15.5,3.8,0,0,dqn,rl_v2,0,0
136,12,12,139.2,84.1,2019,0.9317,758.0,0,15.0,3.3,0,0,dqn,rl_v2,0,0
137,12,12,772.6,100.0,2750,0.876,764.0,0,15.9,4.5,0,0,dqn,rl_v2,0,0
