step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
88,9,9,22.8,44.8,807,1.0,420.5,0,13.8,1.8,0,0,ppo,rl_v2,0,0
89,9,9,16.2,42.9,773,1.0,425.0,0,14.0,1.7,0,0,ppo,rl_v2,0,0
90,9,9,17.1,43.1,776,1.0,429.5,0,13.8,1.7,0,0,ppo,rl_v2,0,0
91,9,9,21.0,45.4,818,1.0,434.0,0,13.7,1.8,0,0,ppo,rl_v2,0,0
92,9,9,25.5,45.8,824,1.0,438.5,0,13.8,1.8,0,0,ppo,rl_v2,0,0
93,9,9,37.8,52.5,945,0.995,443.0,0,14.3,2.1,0,0,ppo,rl_v2,0,0
94,9,9,38.9,51.8,933,0.9963,447.5,0,14.5,2.0,0,0,ppo,rl_v2,0,0
95,9,9,37.6,50.4,908,0.9991,452.0,0,13.9,2.0,0,0,ppo,rl_v2,0,0
96,9,9,44.3,52.9,953,0.9941,456.5,0,14.3,2.1,0,0,ppo,rl_v2,0,0
97,9,9,57.4,58.3,1050,0.9833,461.0,0,14.2,2.3,0,0,ppo,rl_v2,0,0
98,9,9,61.7,60.4,1088,0.9791,465.5,0,14.6,2.4,0,0,ppo,rl_v2,0,0
99,9,9,73.8,66.1,1189,0.9679,470.0,0,14.7,2.6,0,0,ppo,rl_v2,0,0
100,12,9,110.9,82.7,1489,0.9346,474.5,1,14.8,3.3,0,3,ppo,rl_v2,0,0
101,12,10,81.3,72.4,1361,0.9639,479.5,0,14.9,2.7,0,2,ppo,rl_v2,0,0
102,12,11,100.6,76.6,1501,0.9635,485.0,0,14.5,2.7,0,1,ppo,rl_v2,0,0
103,12,12,82.5,71.5,1544,0.9713,491.0,0,14.7,2.5,0,0,ppo,rl_v2,0,0
104,12,12,74.7,67.9,1548,0.971,497.0,0,14.3,2.5,0,0,ppo,rl_v2,0,0
105,12,12,92.9,70.7,1697,0.9586,503.0,0,14.4,2.8,0,0,ppo,rl_v2,0,0
106,12,12,99.8,70.2,1686,0.9595,509.0,0,14.8,2.8,0,0,ppo,rl_v2,0,0
107,12,12,98.1,71.1,1707,0.9577,515.0,0,14.6,2.8,0,0,ppo,rl_v2,0,0
108,12,12,82.9,67.2,1613,0.9656,521.0,0,14.7,2.6,0,0,ppo,rl_v2,0,0
109,12,12,95.2,70.2,1685,0.9596,527.0,0,14.7,2.8,0,0,ppo,rl_v2,0,0
110,12,12,77.3,69.9,1678,0.9602,533.0,0,14.7,2.7,0,0,ppo,rl_v2,0,0
111,12,12,88.0,68.6,1646,0.9628,539.0,0,14.6,2.7,0,0,ppo,rl_v2,0,0
112,12,12,86.3,67.1,1611,0.9657,545.0,0,14.5,2.6,0,0,ppo,rl_v2,0,0
113,12,12,74.7,63.4,1521,0.9732,551.0,0,14.5,2.5,0,0,ppo,rl_v2,0,0
114,12,12,61.9,59.2,1422,0.9815,557.0,0,14.4,2.3,0,0,ppo,rl_v2,0,0
115,12,12,70.1,62.8,1507,0.9744,563.0,0,14.8,2.5,0,0,ppo,rl_v2,0,0
