step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
78,12,9,100.5,82.1,1379,0.9468,319.0,1,14.6,2.5,0,3,ppo,rl_v2,0,0
79,12,9,147.5,98.0,1764,0.904,323.5,0,15.3,3.2,0,3,ppo,rl_v2,0,0
80,12,10,112.2,83.9,1578,0.9422,328.5,0,14.8,2.6,0,2,ppo,rl_v2,0,0
81,12,11,82.3,72.8,1426,0.9704,334.0,0,14.7,2.5,0,1,ppo,rl_v2,0,0
82,12,11,52.9,60.0,1247,0.9866,339.5,0,14.0,2.2,0,1,ppo,rl_v2,0,0
83,12,12,42.4,54.4,1240,0.9967,345.5,0,14.2,2.0,0,0,ppo,rl_v2,0,0
84,12,12,43.8,56.7,1292,0.9923,351.5,0,14.0,2.1,0,0,ppo,rl_v2,0,0
85,9,9,130.9,85.9,1546,0.9282,356.0,1,15.0,2.8,0,0,ppo,rl_v2,0,0
86,9,9,107.9,80.3,1445,0.9394,360.5,0,14.7,2.6,0,0,ppo,rl_v2,0,0
87,12,9,96.6,78.5,1413,0.943,365.0,1,15.2,2.6,0,3,ppo,rl_v2,0,0
88,12,11,78.3,76.3,1495,0.9641,370.5,0,15.4,2.7,0,1,ppo,rl_v2,0,0
89,12,11,92.1,73.4,1438,0.9693,376.0,0,14.5,2.6,0,1,ppo,rl_v2,0,0
90,12,12,72.9,65.4,1491,0.9758,382.0,0,14.5,2.4,0,0,ppo,rl_v2,0,0
91,12,12,73.3,66.4,1513,0.9739,388.0,0,14.3,2.5,0,0,ppo,rl_v2,0,0
92,12,12,71.6,62.5,1500,0.975,394.0,0,14.4,2.5,0,0,ppo,rl_v2,0,0
93,12,12,87.5,67.0,1609,0.9659,400.0,0,14.5,2.6,0,0,ppo,rl_v2,0,0
94,12,12,63.4,60.8,1458,0.9785,406.0,0,14.7,2.4,0,0,ppo,rl_v2,0,0
