step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
84,12,12,43.4,53.8,1292,0.9923,342.0,0,14.0,2.1,0,0,dqn,rl_v2,0,0
85,12,12,65.8,64.4,1546,0.9712,348.0,0,14.4,2.5,0,0,dqn,rl_v2,0,0
86,12,12,63.4,60.2,1445,0.9796,354.0,0,14.3,2.4,0,0,dqn,rl_v2,0,0
87,12,12,55.1,58.9,1413,0.9822,360.0,0,14.1,2.3,0,0,dqn,rl_v2,0,0
88,12,12,78.6,62.3,1495,0.9754,366.0,0,14.4,2.4,0,0,dqn,rl_v2,0,0
89,12,12,62.9,59.9,1438,0.9802,372.0,0,14.6,2.4,0,0,dqn,rl_v2,0,0
90,12,12,68.1,62.1,1491,0.9758,378.0,0,14.3,2.4,0,0,dqn,rl_v2,0,0
91,12,12,66.7,63.0,1513,0.9739,384.0,0,14.4,2.5,0,0,dqn,rl_v2,0,0
92,12,12,69.7,62.5,1500,0.975,390.0,0,14.7,2.5,0,0,dqn,rl_v2,0,0
93,12,12,80.0,67.0,1609,0.9659,396.0,0,14.4,2.6,0,0,dqn,rl_v2,0,0
94,12,12,62.8,60.8,1458,0.9785,402.0,0,14.4,2.4,0,0,dqn,rl_v2,0,0
95,12,12,64.1,57.5,1380,0.985,408.0,0,14.0,2.3,0,0,dqn,rl_v2,0,0
96,12,12,36.3,50.5,1211,0.9991,414.0,0,14.2,2.0,0,0,dqn,rl_v2,0,0
97,12,12,25.3,46.1,1106,1.0,420.0,0,13.7,1.8,0,0,dqn,rl_v2,0,0
98,12,12,33.2,49.2,1181,1.0,426.0,0,13.9,1.9,0,0,dqn,rl_v2,0,0
99,12,12,29.9,47.1,1131,1.0,432.0,0,14.1,1.9,0,0,dqn,rl_v2,0,0
100,12,12,12.1,41.0,983,1.0,438.0,0,13.9,1.6,0,0,dqn,rl_v2,0,0
101,12,12,8.9,38.9,933,1.0,444.0,0,13.7,1.5,0,0,dqn,rl_v2,0,0
102,12,12,9.4,34.5,827,1.0,450.0,0,13.7,1.4,0,0,dqn,rl_v2,0,0
103,12,12,9.5,33.5,804,1.0,456.0,0,13.3,1.3,0,0,dqn,rl_v2,0,0
104,12,12,16.6,43.0,1032,1.0,462.0,0,13.8,1.7,0,0,dqn,rl_v2,0,0
105,12,12,10.5,39.1,938,1.0,468.0,0,13.8,1.5,0,0,dqn,rl_v2,0,0
106,12,12,8.8,34.2,821,1.0,474.0,0,13.7,1.3,0,0,dqn,rl_v2,0,0
107,12,12,9.9,34.8,834,1.0,480.0,0,13.9,1.4,0,0,dqn,rl_v2,0,0
108,12,12,9.6,33.7,809,1.0,486.0,0,13.6,1.3,0,0,dqn,rl_v2,0,0
109,12,12,9.1,31.7,760,1.0,492.0,0,13.5,1.2,0,0,dqn,rl_v2,0,0
110,12,12,9.0,35.0,840,1.0,498.0,0,13.6,1.4,0,0,dqn,rl_v2,0,0
111,12,12,9.2,35.8,860,1.0,504.0,0,13.7,1.4,0,0,dqn,rl_v2,0,0
112,12,12,9.0,31.4,754,1.0,510.0,0,13.3,1.2,0,0,dqn,rl_v2,0,0
113,12,12,8.4,31.2,750,1.0,516.0,0,13.6,1.2,0,0,dqn,rl_v2,0,0
114,12,12,9.1,31.2,748,1.0,522.0,0,13.6,1.2,0,0,dqn,rl_v2,0,0
115,12,12,9.4,28.0,672,1.0,528.0,0,13.3,1.1,0,0,dqn,rl_v2,0,0
116,12,12,9.6,26.5,636,1.0,534.0,0,13.4,1.0,0,0,dqn,rl_v2,0,0
117,6,6,31.0,49.6,595,1.0,537.0,1,14.1,1.0,0,0,dqn,rl_v2,0,0
118,6,6,37.4,51.3,616,0.9973,540.0,0,14.4,1.0,0,0,dqn,rl_v2,0,0
119,12,6,19.2,44.3,532,1.0,543.0,1,13.8,0.9,0,6,dqn,rl_v2,0,0
120,12,8,24.4,53.5,727,1.0,547.0,0,14.3,1.5,0,4,dqn,rl_v2,0,0
121,12,11,11.3,53.7,859,1.0,552.5,0,14.1,1.5,0,1,dqn,rl_v2,0,0
122,12,12,10.1,41.0,787,1.0,558.5,0,13.7,1.3,0,0,dqn,rl_v2,0,0
123,8,8,22.0,49.0,725,1.0,562.5,1,13.7,1.5,0,0,dqn,rl_v2,0,0
124,8,8,14.7,42.4,679,1.0,566.5,0,13.7,1.4,0,0,dqn,rl_v2,0,0
125,12,8,31.8,49.9,799,1.0,570.5,1,13.9,1.6,0,4,dqn,rl_v2,0,0
126,12,9,32.6,51.5,865,1.0,575.0,0,14.2,1.6,0,3,dqn,rl_v2,0,0
127,12,11,10.4,34.5,634,1.0,580.5,0,13.6,1.1,0,1,dqn,rl_v2,0,0
128,12,12,10.2,28.2,576,1.0,586.5,0,13.2,0.9,0,0,dqn,rl_v2,0,0
129,7,7,8.5,38.0,532,1.0,590.0,1,13.7,1.0,0,0,dqn,rl_v2,0,0
130,6,6,39.8,53.3,640,0.9933,593.0,1,14.1,1.0,0,0,dqn,rl_v2,0,0
131,5,5,92.3,73.6,736,0.9528,595.5,1,14.4,1.4,0,0,dqn,rl_v2,0,0
132,12,5,113.6,81.4,814,0.9372,598.0,1,14.6,1.6,0,7,dqn,rl_v2,0,0
133,12,9,14.5,56.7,748,1.0,602.5,0,14.8,1.4,0,3,dqn,rl_v2,0,0
134,12,12,11.5,54.9,856,1.0,608.5,0,14.1,1.4,0,0,dqn,rl_v2,0,0
135,8,8,35.1,53.5,792,1.0,612.5,1,14.0,1.9,0,0,dqn,rl_v2,0,0
136,8,8,46.0,56.3,901,0.9874,616.5,0,14.4,2.2,0,0,dqn,rl_v2,0,0
137,12,8,35.3,50.3,805,0.9994,620.5,1,14.1,2.0,0,4,dqn,rl_v2,0,0
138,12,10,9.8,43.3,762,1.0,625.5,0,14.1,1.5,0,2,dqn,rl_v2,0,0
139,12,11,10.2,39.9,735,1.0,631.0,0,13.5,1.3,0,1,dqn,rl_v2,0,0
140,12,11,9.8,37.3,775,1.0,636.5,0,13.4,1.4,0,1,dqn,rl_v2,0,0
141,12,12,9.9,25.4,580,1.0,642.5,0,13.5,1.0,0,0,dqn,rl_v2,0,0
142,12,12,9.4,21.6,493,1.0,648.5,0,13.0,0.8,0,0,dqn,rl_v2,0,0
143,6,6,28.8,49.2,591,1.0,651.5,1,14.4,1.3,0,0,dqn,rl_v2,0,0
144,5,5,79.1,68.0,680,0.964,654.0,1,14.7,1.3,0,0,dqn,rl_v2,0,0
145,12,5,38.3,53.3,533,0.9934,656.5,1,14.4,1.0,0,7,dqn,rl_v2,0,0
146,12,8,9.6,47.7,591,1.0,660.5,0,14.2,1.2,0,4,dqn,rl_v2,0,0
147,12,10,10.0,42.0,588,1.0,665.5,0,14.0,1.0,0,2,dqn,rl_v2,0,0
148,12,12,9.4,28.1,540,1.0,671.5,0,13.4,0.9,0,0,dqn,rl_v2,0,0
149,7,7,8.7,34.4,481,1.0,675.0,1,13.6,1.1,0,0,dqn,rl_v2,0,0
150,6,6,47.6,56.8,682,0.9863,678.0,1,14.3,1.5,0,0,dqn,rl_v2,0,0
151,5,5,108.2,81.9,819,0.9362,680.5,1,15.1,1.6,0,0,dqn,rl_v2,0,0
152,12,5,94.5,80.2,802,0.9396,683.0,1,15.1,1.6,0,7,dqn,rl_v2,0,0
153,12,9,9.1,50.0,660,1.0,687.5,0,14.3,1.4,0,3,dqn,rl_v2,0,0
154,12,11,10.0,41.0,607,1.0,693.0,0,13.4,1.1,0,1,dqn,rl_v2,0,0
155,12,11,9.6,32.3,634,1.0,698.5,0,13.7,1.1,0,1,dqn,rl_v2,0,0
156,8,8,8.4,38.8,574,1.0,702.5,1,13.8,1.4,0,0,dqn,rl_v2,0,0
